Place,Slug/Page,What is this place,Why is it important,Who comes here,What stories happen here,Where could I wander next,Linked From (Core),Links To (Core),Cross-link Verified,Keep Signal,Complete,Notes
Farmhouse,,,,,,,,,No,,No,
Red Barn,,,,,,,,,No,,No,
Orchard,,,,,,,,,No,,No,
Old Oak,,,,,,,,,No,,No,
Reading Stump,,,,,,,,,No,,No,
Community Garden,,,,,,,,,No,,No,
Schoolyard,,,,,,,,,No,,No,
Safe Pond Edge,,,,,,,,,No,,No,
Mailbox Path,,,,,,,,,No,,No,
Barn District,,,,,,,,,No,,No,
Council Circle,,,,,,,,,No,,No,
Front Gate,,,,,,,,,No,,No,
